Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2006 Bentley Continental Flying Spur 4dr Sdn AWD,29990,29026,Auto Gallery Chicago,2.9,"Addison, IL (19 mi.)",97
2002 Aston Martin DB7 Vantage 2dr Cpe Manual,37990,22916,Auto Gallery Chicago,2.9,"Addison, IL (19 mi.)",97
2009 Lincoln Town Car Signature,9980,59769,Platinum Auto Exchange,4.1,"Mt Prospect, IL (19 mi.)",191
2011 Dodge Nitro 1 OWNER !,7945,132549,Top Gear Motors,3.6,"ADDISON, IL (20 mi.)",23
2011 Dodge Nitro Heat 4x4 4dr SUV,7790,98086,Auto House Motors,3.9,"Downers Grove, IL (21 mi.)",86
2008 Saturn Aura XR,6995,86690,Oswego Motors,4.2,"Oswego, IL (21 mi.)",28
2023 Genesis Electrified G80 Base,59945,5927,Genesis of Downers Grove,0.0,"Downers Grove, IL (21 mi.)",4
2006 Porsche Cayman S,28890,48645,Porsche Orland Park,4.8,"Orland Park, IL (22 mi.)",1111
2016 Chevrolet Tahoe LS,24500,64226,Napleton's River Oaks Chrysler Jeep Dodge RAM,4.6,"Lansing, IL (22 mi.)",1329
2008 Volvo C70 T5,13784,17209,Muller Honda,4.8,"Highland Park, IL (22 mi.)",1297
2013 Maserati GranTurismo Sport,32500,34548,Acura Highland Park,4.5,"Highland Park, IL (25 mi.)",432
2006 Bentley Continental Flying Spur Flying Spur Sedan 4D,24900,72758,Exotic Motors,2.9,"Rolling Meadows, IL (26 mi.)",634
1994 Toyota Supra *Twin-Turbo* *6-Speed Manual*,129900,48743,Gold Coast Motors,0.0,"Naperville, IL (30 mi.)",73
2013 Kia Optima EX,9177,112517,Bill Jacobs VW,4.4,"Naperville, IL (30 mi.)",688
2018 Audi SQ5 3.0T Prestige,25999,68019,Auto's of Chicago,4.0,"Arlington Heights, IL",83
2018 Acura RLX Technology Package,25910,38939,McGrath Acura of Downtown Chicago,4.2,"Chicago, IL (2 mi.)",451
2024 Jeep Grand Cherokee 4xe Base,49851,0,Chrysler Dodge Jeep Ram of Chicago,4.1,"Chicago, IL (8 mi.)",322
