Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2025 Nissan Sentra SV,24295,0,Berman Nissan of Chicago,4.7,"Chicago, IL (6 mi.)",1283
2025 Jeep Grand Cherokee L Altitude,45530,0,Marino Chrysler Jeep Dodge RAM,4.9,"Chicago, IL (8 mi.)",5104
2025 Jeep Grand Cherokee L Limited,49065,0,Marino Chrysler Jeep Dodge RAM,4.9,"Chicago, IL (8 mi.)",5104
2014 BMW 335 XI,20998,53515,CarMax Harrisonburg,0.0,Location not found,1
2025 Mazda CX-5 2.5 S Premium Plus Package,36270,0,McGrath City Mazda,4.6,"Chicago, IL (9 mi.)",727
2024 Jeep Grand Cherokee 4xe Base,44780,0,Berman Chrysler Dodge Jeep Ram,4.1,"Oak Lawn, IL (13 mi.)",56
2022 Hyundai Elantra SEL,20998,28468,CarMax Warner Robins,0.0,Location not found,4
2025 Mazda CX-5 2.5 S Preferred Package,32419,0,Napleton's Countryside Mazda,4.2,"Countryside, IL (14 mi.)",995
1970 Chevrolet Corvette Base,29991,74466,Motorcars Express,4.1,"Alsip, IL (16 mi.)",78
2023 Lincoln Corsair Reserve,38998,9994,CarMax Glencoe (Edens Expy),0.0,"Glencoe, IL (18 mi.)",2
2025 Jeep Grand Cherokee L Laredo,48675,0,Fields Chrysler Jeep Dodge RAM,0.0,"Glenview, IL (19 mi.)",78
2021 Mercedes-Benz GLS 580 GLS 580,65862,36640,Ultimo Motors North Shore,3.2,"Northbrook, IL (19 mi.)",88
2024 Mercedes-Benz GLS 580 GLS 580,104912,2369,Ultimo Motors North Shore,3.2,"Northbrook, IL (19 mi.)",88
2022 Honda HR-V EX,23495,18731,Castle Mazda Downers Grove,4.3,"Downers Grove, IL (21 mi.)",98
2015 Maserati Ghibli S Q4,16980,57185,Driven Auto of Oak Forest,4.4,"Oak Forest, IL (21 mi.)",50
2016 Chevrolet Equinox LT,12990,75464,Auto House Motors,3.9,"Downers Grove, IL (21 mi.)",86
2025 Mercedes-Benz GLC 300 Base 4MATIC,61220,0,Mercedes-Benz of Orland Park,4.5,"Orland Park, IL (22 mi.)",394
2022 Chevrolet Silverado 1500 LT,35897,32069,Bill Kay Buick GMC,4.5,"Downers Grove, IL (22 mi.)",1453
2021 Ford F-150 XLT,35490,51818,Joe Rizza Ford Lincoln,4.3,"Orland Park, IL (22 mi.)",2879
2023 Chrysler Pacifica Limited,34758,50009,Bettenhausen Fiat,4.9,"Orland Park, IL (23 mi.)",258
2025 Chevrolet Blazer RS,46495,0,Chevrolet of Homewood,4.7,"Homewood, IL (23 mi.)",505
2024 BMW 530 i xDrive,65950,2868,BMW of Orland Park,4.5,"Orland Park, IL (24 mi.)",1575
2024 Nissan Rogue SV,31553,0,Berman Nissan of Chicago,4.7,"Chicago, IL (6 mi.)",1283
2025 Mazda CX-5 Signature,42303,0,McGrath City Mazda,4.6,"Chicago, IL (9 mi.)",727
2018 RAM 1500 Express,20988,73596,Berwyn Kia,4.6,"Berwyn, IL (10 mi.)",274
2015 Nissan Versa Note S Plus,10599,96870,CarMax Bakersfield,0.0,Location not found,4
2022 Nissan Rogue Sport SL,25699,18608,Countryside Nissan,4.7,"Countryside, IL (14 mi.)",2536
2020 Nissan Murano SL FWD,23299,43377,Countryside Nissan,4.7,"Countryside, IL (14 mi.)",2536
2020 Kia Optima LX,19998,25424,CarMax Columbia,0.0,Location not found,8
2007 Hummer H3 SUV,8995,134980,Nexton Motors LLC,5.0,"Elmhurst, IL (17 mi.)",52
2025 Honda CR-V EX-L,36399,0,Honda on Grand,4.7,"Elmhurst, IL (17 mi.)",2450
2011 Buick Enclave 2XL,8277,108261,Your Choice Auto Sales of Posen,4.3,"Posen, IL (18 mi.)",113
2025 MINI Hardtop Cooper S,35895,0,MINI of Glencoe North Shore,4.2,"Glenco, IL (18 mi.)",273
2017 Dodge Durango SXT,14750,117944,Chicago Motor Credit,4.9,"South Holland, IL (20 mi.)",116
2024 Audi A6 45 Premium,49800,7291,Audi Orland Park,0.0,"Orland Park, IL (22 mi.)",267
2019 Cadillac XT5 Luxury,22950,85601,Rizza Cadillac Buick GMC,4.5,"Tinley Park, IL (22 mi.)",3908
2023 Chevrolet Silverado 1500 LTZ,51995,22913,Jerry Haggerty Chevrolet,4.8,"Glen Ellyn, IL (23 mi.)",570
2025 Honda CR-V EX-L,35988,0,Honda of Lisle,4.8,"Lisle, IL (24 mi.)",5294
2024 Mazda CX-5 Carbon Edition Turbo,37208,0,Napleton's Schaumburg Mazda,4.0,"Schaumburg, IL (26 mi.)",200
2024 Mazda CX-5 Carbon Edition Turbo,38300,0,Napleton's Schaumburg Mazda,4.0,"Schaumburg, IL (26 mi.)",200
2024 Mercedes-Benz EQB 300 4MATIC,64210,0,Mercedes-Benz of Hoffman Estates,4.7,"Hoffman Estates, IL (27 mi.)",1248
2021 Mercedes-Benz GLS 580 4MATIC,66990,46820,Knauz Auto Park,4.4,"Lake Bluff, IL (30 mi.)",2067
2024 Mercedes-Benz GLB 250 Base,44491,7678,Mercedes-Benz of Naperville,4.7,"Naperville, IL (30 mi.)",1030
2024 Hyundai Elantra SE,22982,0,McGrath City Hyundai,4.0,"Chicago, IL (9 mi.)",3042
2025 Honda Pilot Touring 8-Passenger,50995,0,McGrath City Honda,4.4,"Chicago, IL (9 mi.)",1890
2018 Jeep Grand Cherokee Limited X,21980,40414,Capital Auto Finance,0.0,"Bridgeview, IL (12 mi.)",5
2021 Jeep Wrangler Unlimited 4xe Unlimited Rubicon,43998,15228,CarMax Columbia,0.0,Location not found,8
2015 Ford F-250 XL,19795,86459,Asia Motors Inc.,0.0,"Melrose Park, IL (13 mi.)",66
2017 Acura MDX Sport Hybrid Advance,24998,83933,CarMax Colorado Springs,0.0,Location not found,13
2025 Jeep Grand Cherokee L Altitude,50175,0,Jack Phelan Chrysler Dodge Jeep RAM,4.9,"Countryside, IL (14 mi.)",1753
2024 Subaru Outback Limited,38054,0,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2019 Tesla Model X Long Range,34995,74761,Highline Auto Sales,4.5,"Willowbrook, IL (18 mi.)",363
2014 Subaru Legacy Limited,14291,58984,Laurel BMW of Westmont,4.7,"Westmont, IL (18 mi.)",1987
2025 Mazda CX-5 Preferred,32021,0,Castle Mazda Downers Grove,4.3,"Downers Grove, IL (21 mi.)",98
2015 Ford Fiesta SE 4dr Hatchback,7490,81977,Auto House Motors,3.9,"Downers Grove, IL (21 mi.)",86
2023 Chevrolet Equinox 1LT,23357,21328,Bill Kay Downers Grove Nissan,4.7,"Downers Grove, IL (21 mi.)",2571
2025 Subaru Forester Limited,40020,0,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars",4.8,"Tinley Park, IL (22 mi.)",275
2012 Volkswagen Golf 2.5L,7900,74000,Not found,0.0,"Rolling Meadows, IL (24 mi.)",0
2025 Volvo XC60 Plug-In Hybrid Ultra Black Edition,69900,0,Volvo Cars Lisle,4.8,"Lisle, IL (24 mi.)",1281
2024 Chevrolet Trax LT,22954,10380,INFINITI of Hoffman Estates,4.7,"Hoffman Estates, IL (27 mi.)",2150
2021 Mercedes-Benz C-Class 4MATIC Sedan,34999,16152,Mercedes-Benz of Hoffman Estates,4.7,"Hoffman Estates, IL (27 mi.)",1248
2024 Acura ZDX BASE,70450,0,Advantage Acura of Naperville,4.3,"Naperville, IL (30 mi.)",464
2025 Mazda CX-5 Select,31320,0,Napleton Mazda of Naperville,4.2,"Naperville, IL (30 mi.)",527
2024 Ford Escape ST-Line Elite,41280,0,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2017 Chevrolet Equinox 1LT,13590,79823,Shaver Preferred Motors,4.2,"Merriville, IN (30 mi.)",95
2024 Hyundai IONIQ 5 SE,42350,0,Napleton Downtown Chevrolet Buick GMC,3.9,"Chicago, IL (3 mi.)",1003
2025 Jeep Grand Cherokee L Limited,51635,0,Marino Chrysler Jeep Dodge RAM,4.9,"Chicago, IL (8 mi.)",5104
2025 Jeep Grand Cherokee L Laredo,42720,0,Marino Chrysler Jeep Dodge RAM,4.9,"Chicago, IL (8 mi.)",5104
2016 MINI Clubman S,16998,54202,CarMax Gainesville,0.0,Location not found,4
2025 Jeep Grand Cherokee L Limited,48910,0,Marino Chrysler Jeep Dodge RAM,4.9,"Chicago, IL (8 mi.)",5104
2022 Hyundai Sonata SE,17499,47024,McGrath City Hyundai,4.0,"Chicago, IL (9 mi.)",3042
2020 Chevrolet Blazer RS,29337,45808,Currie Motors Chevrolet,4.6,"Forest Park, IL (10 mi.)",1563
2021 Chevrolet Suburban LT,36995,83437,Baha Auto Group Inc.,0.0,"Burbank, IL (13 mi.)",32
2022 Hyundai Palisade SEL,33998,35035,CarMax Warner Robins,0.0,Location not found,4
2025 Audi Q7 45 Premium Plus,71600,0,Audi Morton Grove,4.8,"Morton Grove, IL (15 mi.)",760
2025 Mazda CX-5 Carbon Edition,40920,0,Wilkins Mazda,4.8,"Elmhurst, IL (16 mi.)",485
2020 Mercedes-Benz GLC 300 4MATIC Coupe,38888,68606,Chicago Auto Place,4.4,"Downers Grove, IL (18 mi.)",420
2016 BMW Z4 sDrive35i,27890,50801,Lucky Motors Megastore of Villa Park,3.8,"Villa Park, IL (18 mi.)",204
2025 Kia Seltos S,25500,0,Napleton River Oaks Hyundai Kia,4.6,"Calumet City, IL (20 mi.)",1922
2024 Nissan Rogue S,28497,0,Zeigler Nissan of Orland Park,4.8,"Orland Park, IL (22 mi.)",4028
2025 Chevrolet Blazer RS,47995,0,Chevrolet of Homewood,4.7,"Homewood, IL (23 mi.)",505
2024 Hyundai Elantra SEL,22788,0,Patrick Hyundai of Schaumburg,4.1,"Schaumburg, IL (25 mi.)",1125
2024 Hyundai Elantra SE,21088,0,Patrick Hyundai of Schaumburg,4.1,"Schaumburg, IL (25 mi.)",1125
2024 Ford Escape Active,34620,0,Webb Ford,4.0,"Highland, IN (26 mi.)",441
2019 Nissan Rogue Sport SV,17200,67802,Garber Chevrolet Highland,4.1,"Highland, IN (26 mi.)",1607
2025 Ford Explorer Active,44980,0,Currie Motors Ford of Frankfort,4.8,"Frankfort, IL (29 mi.)",3422
2025 Mazda CX-5 Preferred,32670,0,Napleton Mazda of Naperville,4.2,"Naperville, IL (30 mi.)",527
2024 Cadillac Escalade Premium Luxury,105190,0,Zeigler Cadillac of Lincolnwood,4.4,"Lincolnwood, IL (11 mi.)",660
2020 Ford Transit-350 XL,41995,48241,Baha Auto Group Inc.,0.0,"Burbank, IL (13 mi.)",32
2016 Audi A8 3.0T,16980,112303,Driven Auto Sales,4.1,"Burbank, IL (13 mi.)",193
2024 Subaru Crosstrek Limited,28998,19485,CarMax Columbia,0.0,Location not found,8
2024 Ford Escape Platinum,43655,0,Westfield Ford,4.3,"Countryside, IL (14 mi.)",1169
2025 Jeep Grand Cherokee L Limited,59335,0,Jack Phelan Chrysler Dodge Jeep RAM,4.9,"Countryside, IL (14 mi.)",1753
2025 Jeep Grand Cherokee L Limited,58740,0,Jack Phelan Chrysler Dodge Jeep RAM,4.9,"Countryside, IL (14 mi.)",1753
2025 Jeep Grand Cherokee L Limited,51315,0,Jack Phelan Chrysler Dodge Jeep RAM,4.9,"Countryside, IL (14 mi.)",1753
2025 Mazda CX-5 2.5 S Preferred Package,33265,0,Napleton's Oak Lawn Mazda,3.9,"Oak Lawn, IL (14 mi.)",594
2025 Honda CR-V LX,33405,0,Gerald Honda of Countryside,4.9,"Countryside, IL (14 mi.)",1857
2019 Jeep Renegade Latitude,18998,16031,CarMax Spokane,0.0,Location not found,2
2024 Subaru Outback Touring,42661,0,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2001 Jeep Wrangler Sahara,6999,141139,Chicago Motor Credit,4.9,"South Holland, IL (20 mi.)",116
2004 BMW Z4 2.5i Roadster,11555,72347,Star Motor Sales,4.5,"Downers Grove, IL (21 mi.)",219
2023 Volkswagen Tiguan 2.0T SE,23396,45828,BMW of Orland Park,4.5,"Orland Park, IL (24 mi.)",1575
2023 Jeep Compass Latitude,27073,7993,Zeigler Chrysler Dodge Jeep Ram of Schaumburg,4.4,"Schaumburg, IL (26 mi.)",1401
2023 RAM 2500 Big Horn,43275,29596,BMW of Schererville,4.8,"Schererville, IN (28 mi.)",567
2009 Dodge Challenger SRT8,32999,18346,Power Motorcars,4.7,"Naperville, IL (28 mi.)",35
2024 Jeep Grand Cherokee L Limited,42977,0,Castle Chrysler Dodge Jeep Ram of Naperville,4.2,"Naperville, IL (30 mi.)",1654
2024 Audi Q5 45 S line Premium Plus,46991,6036,Audi Naperville,4.7,"Naperville, IL (30 mi.)",993
2025 Mercedes-Benz GLC 300 4MATIC Coupe,69500,0,Mercedes-Benz of Naperville,4.7,"Naperville, IL (30 mi.)",1030
2025 Mercedes-Benz E-Class E 350,71430,0,Knauz Auto Park,4.4,"Lake Bluff, IL (30 mi.)",2067
2018 Bentley Bentayga Activity Edition,89800,45075,Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,0.0,"Chicago, IL (2 mi.)",58
2023 Jeep Grand Cherokee Altitude,34999,4926,Hawk CDJR,4.8,"Forest Park, IL (10 mi.)",755
2024 Mazda CX-5 2.5 S Select Package,32333,0,The Autobarn Mazda of Evanston,4.8,"Evanston, IL (11 mi.)",1479
2024 Hyundai Venue SEL,21998,11868,CarMax Palm Desert,0.0,Location not found,1
2025 Chevrolet Blazer RS,46540,0,Webb Chevy,4.7,"Oak Lawn, IL (13 mi.)",2209
2024 Jeep Grand Cherokee L Altitude,41068,0,Berman Chrysler Dodge Jeep Ram,4.1,"Oak Lawn, IL (13 mi.)",56
2024 Jeep Grand Cherokee 4xe Summit Reserve,65349,0,Berman Chrysler Dodge Jeep Ram,4.1,"Oak Lawn, IL (13 mi.)",56
2018 Jeep Compass Trailhawk,23998,52118,CarMax Serramonte,0.0,Location not found,7
2003 BMW Z4 2.5i Roadster,8988,113483,S&M Auto Sales,2.1,"Hickory Hills, IL (15 mi.)",60
2023 Nissan Rogue SV,26551,10630,Golf Mill Chevrolet,4.5,"Niles, IL (16 mi.)",780
2024 Mazda CX-5 2.5 S Premium,34658,0,Wilkins Mazda,4.8,"Elmhurst, IL (16 mi.)",485
2024 Mercedes-Benz AMG C 63 S E Performance,96980,0,Mercedes-Benz of Westmont,4.6,"Westmont, IL (18 mi.)",1260
2024 Mercedes-Benz EQS 450 Base 4MATIC,117735,0,Autohaus on Edens,4.7,"Northbrook, IL (19 mi.)",3067
2010 Toyota Prius III,8900,120800,Advance 1 Auto Group,0.0,"Lombard, IL (19 mi.)",2
2018 Jeep Compass Latitude,14500,80058,Napleton River Oaks Honda,4.9,"Lansing, IL (22 mi.)",2015
2021 Jeep Grand Cherokee Overland,37900,11287,Bettenhausen Chrysler Dodge Jeep RAM,4.7,"Lockport, IL (28 mi.)",12
2025 Mazda CX-5 2.5 S Select Package,30608,0,Napleton's Palatine Mazda,3.1,"Palatine, IL (28 mi.)",52
2025 Mazda CX-5 2.5 S Select Package,31174,0,Napleton's Palatine Mazda,3.1,"Palatine, IL (28 mi.)",52
2015 Ford Transit Connect XLT w/Rear Liftgate,16995,53805,Conway Imports,4.7,"Streamwood, IL (29 mi.)",732
2008 BMW Z4 3.0si Roadster,9685,109885,Silver Auto Sales Inc.,3.6,"Frankfort, IL (30 mi.)",94
2023 Land Rover Range Rover Evoque R-Dynamic SE,47105,10777,Knauz Auto Park,4.4,"Lake Bluff, IL (30 mi.)",2067
2025 Buick Envista Sport Touring FWD,26191,0,Woody Buick GMC Naperville,4.8,"Naperville, IL (30 mi.)",687
2025 Mercedes-Benz AMG GLA 35 AMG GLA 35,67710,0,Mercedes-Benz of Chicago,4.8,"Chicago, IL (3 mi.)",1360
2025 Nissan Sentra SV,24050,0,Berman Nissan of Chicago,4.7,"Chicago, IL (6 mi.)",1283
2004 Hummer H2 Base,6997,148129,Honda City Chicago,4.8,"Chicago, IL (8 mi.)",603
2019 Chrysler Pacifica Touring L,21998,61789,CarMax Mechanicsburg,0.0,Location not found,5
2023 Honda Pilot 2WD EX-L 8 Passenger,36597,9981,Honda City Chicago,4.8,"Chicago, IL (8 mi.)",603
2021 GMC Canyon Denali,34249,28118,Zeigler Buick GMC of Lincolnwood,4.5,"Lincolnwood, IL (10 mi.)",1546
2025 Mercedes-Benz E-Class E 350,69395,0,Loeber Motors Mercedes-Benz,0.0,"Lincolnwood, IL (11 mi.)",0
2005 Ford E250 Cargo,5950,112877,Summit Auto Center,0.0,"Summit, IL (12 mi.)",18
2016 Audi A4 Premium,17998,43374,CarMax LAX,0.0,Location not found,4
2024 Ford Escape ST-Line,32487,0,Westfield Ford,4.3,"Countryside, IL (14 mi.)",1169
2021 GMC Terrain SLT,24495,30058,Ed Napleton Acura Kia,4.4,"Elmhurst, IL (18 mi.)",1393
2025 MINI Hardtop Cooper S,39880,0,MINI of Glencoe North Shore,4.2,"Glenco, IL (18 mi.)",273
2024 Lexus NX 350 Base,44988,1037,McGrath Lexus of Westmont,4.8,"Westmont, IL (18 mi.)",2187
2013 Cadillac Escalade ESV Standard,17495,75621,Ali Luxury Motors,5.0,"Glenview, IL (18 mi.)",8
2011 Ford F-150 FX4,14500,144551,Dream Motorworks,0.0,"Addison, IL (21 mi.)",1
2014 Buick Encore Premium,11950,78142,Rizza Cadillac Buick GMC,4.5,"Tinley Park, IL (22 mi.)",3908
2024 Acura ZDX Base,62950,0,Joe Rizza Acura,4.6,"Orland Park, IL (22 mi.)",2227
2017 BMW 430 Gran Coupe i xDrive,17873,83099,Affinity Auto Sales,4.0,"West Chicago, IL (25 mi.)",51
2025 Nissan Rogue SV,34206,0,Woodfield Nissan,4.0,"Hoffman Estates, IL (27 mi.)",478
2024 Cadillac XT4 Sport,52715,0,Arnie Bauer Cadillac,4.4,"Matteson, IL (27 mi.)",2094
2024 Ford Escape Base,38282,0,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2024 Volkswagen Taos 1.5T SE,30988,0,Bill Jacobs VW,4.4,"Naperville, IL (30 mi.)",688
2024 Hyundai IONIQ 5 SE,43290,0,Napleton Downtown Chevrolet Buick GMC,3.9,"Chicago, IL (3 mi.)",1003
2024 Nissan Kicks SV,21249,5797,Berman Nissan of Chicago,4.7,"Chicago, IL (6 mi.)",1283
2020 BMW X3 XDrive30i,34998,27665,CarMax Hillside (Eisenhower Expy),0.0,"Hillside, IL (14 mi.)",14
2018 Porsche 718 Cayman,53998,26796,CarMax Palm Desert,0.0,Location not found,1
2024 RAM ProMaster 2500 High Roof,47964,0,Jack Phelan Chrysler Dodge Jeep RAM,4.9,"Countryside, IL (14 mi.)",1753
2021 Mazda CX-5 Grand Touring,24943,41033,Napleton's Oak Lawn Mazda,3.9,"Oak Lawn, IL (14 mi.)",594
2019 RAM 2500 Tradesman,33998,69935,CarMax Fredericksburg,0.0,Location not found,8
2024 Subaru Outback Limited XT,42528,0,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2025 MINI Hardtop Cooper S,38605,0,MINI of Glencoe North Shore,4.2,"Glenco, IL (18 mi.)",273
2025 MINI Hardtop Cooper,32420,0,MINI of Glencoe North Shore,4.2,"Glenco, IL (18 mi.)",273
2021 Volkswagen Tiguan 2.0T SE 4MOTION,21995,32273,MINI of Glencoe North Shore,4.2,"Glenco, IL (18 mi.)",273
2024 Cadillac Escalade Sport Platinum,122985,0,Heritage Cadillac,4.6,"Lombard, IL (20 mi.)",1190
2023 Ford F-250 XL,54995,10716,Oswego Motors,4.2,"Oswego, IL (21 mi.)",28
2025 Chevrolet Blazer LT,34313,0,Phillips Chevrolet of Lansing,5.0,"Lansing, IL (22 mi.)",6799
2022 Chevrolet Silverado 1500 RST,39997,34012,Bill Kay Buick GMC,4.5,"Downers Grove, IL (22 mi.)",1453
2024 Kia Sportage Hybrid EX,34385,0,International Kia,4.7,"Orland Hills, IL (22 mi.)",604
2025 Honda CR-V EX-L AWD,38305,0,Community Honda of Orland Park,4.2,"Orland Park, IL (22 mi.)",1834
2024 Ford Escape Base,36645,0,Ford of Homewood,4.5,"Homewood, IL (23 mi.)",244
2016 Audi Q5 2.0T Premium Plus,18995,84808,Affinity Auto Sales,4.0,"West Chicago, IL (25 mi.)",51
2021 Honda Pilot AWD EX,28195,49476,DriveTime of Highland,0.0,"Highland, IN (26 mi.)",8
2022 Subaru Outback Limited,26749,41893,Napleton's Palatine Subaru,4.4,"Palatine, IL (28 mi.)",237
2019 Jeep Wrangler Unlimited Rubicon,33477,39413,Castle Chrysler Dodge Jeep Ram of Naperville,4.2,"Naperville, IL (30 mi.)",1654
2024 Chevrolet Blazer 2LT,33945,0,Napleton Downtown Chevrolet Buick GMC,3.9,"Chicago, IL (3 mi.)",1003
2024 Nissan Rogue SV,31170,0,Berman Nissan of Chicago,4.7,"Chicago, IL (6 mi.)",1283
2025 Buick Envista Sport Touring FWD,27589,0,Zeigler Buick GMC of Lincolnwood,4.5,"Lincolnwood, IL (10 mi.)",1546
2022 GMC Sierra 1500 Limited Denali,51998,16773,CarMax Murrieta,0.0,Location not found,3
2022 Chrysler Pacifica Hybrid Touring L,49452,0,Berman Chrysler Dodge Jeep Ram,4.1,"Oak Lawn, IL (13 mi.)",56
2025 Chevrolet Blazer 2LT,35840,0,Webb Chevy,4.7,"Oak Lawn, IL (13 mi.)",2209
2024 Ford Explorer Timberline,48056,0,Golf Mill Ford,4.8,"Niles, IL (14 mi.)",3743
2022 Chevrolet Malibu LS,21998,19643,CarMax Cincinnati,0.0,Location not found,5
2024 Subaru Outback Premium,34824,0,Grand Subaru,4.9,"Bensenville, IL (17 mi.)",3896
2014 Lincoln MKZ Base,8308,105341,Bose Motors,4.5,"Crestwood, IL (18 mi.)",73
2023 Honda Civic Type R,45998,5299,CarMax Glencoe (Edens Expy),0.0,"Glencoe, IL (18 mi.)",2
2020 Mercedes-Benz GLC 300,26998,46509,CarMax Glencoe (Edens Expy),0.0,"Glencoe, IL (18 mi.)",2
2025 Mercedes-Benz E-Class E 450,86925,0,Mercedes-Benz of Westmont,4.6,"Westmont, IL (18 mi.)",1260
2022 Audi A5 Sportback S Line Premium,26800,60659,Napleton River Oaks Honda,4.9,"Lansing, IL (22 mi.)",2015
2024 Jeep Grand Cherokee 4xe Anniversary Edition,50165,0,DuPage CDJR,4.5,"Glendale Heights, IL (23 mi.)",2011
2020 Jaguar F-PACE S P380 AWD Automatic,33995,25258,Auto Showcase of Carol Stream,4.1,"Carol Stream, IL (24 mi.)",80
2015 Mercedes-Benz CLS-Class CLS 400 4MATIC,19995,85073,Affinity Auto Sales,4.0,"West Chicago, IL (25 mi.)",51
2024 Jeep Wagoneer L Series I 4x4,67887,0,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,4.4,"Arlington Heights, IL (26 mi.)",3364
2024 Mercedes-Benz E-Class E 350,69155,0,Mercedes-Benz of Naperville,4.7,"Naperville, IL (30 mi.)",1030
2024 BMW i7 xDrive60,129175,0,Knauz Auto Park,4.4,"Lake Bluff, IL (30 mi.)",2067
2025 Mercedes-Benz GLC 300 4MATIC,53385,0,Mercedes-Benz of Naperville,4.7,"Naperville, IL (30 mi.)",1030
2018 Acura ILX AcuraWatch Plus Package,15230,90035,McGrath Acura of Downtown Chicago,4.2,"Chicago, IL (2 mi.)",451
2024 Hyundai IONIQ 5 SE,42350,0,Napleton Downtown Chevrolet Buick GMC,3.9,"Chicago, IL (3 mi.)",1003
2024 Mercedes-Benz AMG C 63 S E Performance,104225,0,Mercedes-Benz of Chicago,4.8,"Chicago, IL (3 mi.)",1360
2023 Hyundai Santa Fe HEV Limited,35998,25109,CarMax Killeen,0.0,Location not found,2
2024 Volkswagen Jetta 1.5T Sport,20490,11697,City Volkswagen Of Evanston,5.0,"Evanston, IL (11 mi.)",2542
2024 Subaru Ascent Touring 7-Passenger,43790,9159,Mcgrath Evanston Subaru,4.5,"Skokie, IL (11 mi.)",217
2024 Cadillac Escalade Premium Luxury,98190,0,Zeigler Cadillac of Lincolnwood,4.4,"Lincolnwood, IL (11 mi.)",660
2024 Dodge Hornet GT AWD,29702,0,Berman Chrysler Dodge Jeep Ram,4.1,"Oak Lawn, IL (13 mi.)",56
2021 Toyota Highlander XSE,35213,46642,Berman Chrysler Dodge Jeep Ram,4.1,"Oak Lawn, IL (13 mi.)",56
2021 Subaru Ascent Touring,34998,30588,CarMax Columbia,0.0,Location not found,8
2006 Chevrolet Corvette Z06,44800,37995,CHICAGO AUTO SPORTS,4.2,"Bensenville, IL (16 mi.)",5
2005 Ford Mustang GT Premium,10395,113864,Nexton Motors LLC,5.0,"Elmhurst, IL (17 mi.)",52
2020 GMC Sierra 1500 Elevation,30995,62718,Oswego Motors,4.2,"Oswego, IL (21 mi.)",28
2024 Jeep Grand Cherokee L Limited,48864,0,Zeigler Chrysler Dodge Jeep Ram of Downers Grove,4.3,"Downers Grove, IL (22 mi.)",897
2025 Cadillac XT4 Premium Luxury,49420,0,Rizza Cadillac Buick GMC,4.5,"Tinley Park, IL (22 mi.)",3908
2019 RAM ProMaster City Tradesman,22995,39549,Auto Showcase of Carol Stream,4.1,"Carol Stream, IL (24 mi.)",80
2017 Nissan Leaf SL,9995,39951,Affinity Auto Sales,4.0,"West Chicago, IL (25 mi.)",51
2025 Mazda CX-5 2.5 S Preferred Package,32745,0,Napleton's Palatine Mazda,3.1,"Palatine, IL (28 mi.)",52
2024 Ford Escape ST-Line,30789,0,Fair Oaks Ford,4.7,"Naperville, IL (30 mi.)",3772
2025 Chevrolet Equinox FWD RS,33930,0,Chevrolet of Naperville,4.7,"Naperville, IL (30 mi.)",2527
2022 INFINITI QX55 ESSENTIAL,33489,43106,INFINITI of Naperville,4.9,"Naperville, IL (30 mi.)",3709
2025 Mercedes-Benz E-Class E 450,78305,0,Knauz Auto Park,4.4,"Lake Bluff, IL (30 mi.)",2067
2024 Cadillac Escalade Sport Platinum,115690,0,Zeigler Cadillac of Lincolnwood,4.4,"Lincolnwood, IL (11 mi.)",660
2025 Ford Explorer Active,47985,0,Westfield Ford,4.3,"Countryside, IL (14 mi.)",1169
1996 Chevrolet Corvette Base,37800,18777,CHICAGO AUTO SPORTS,4.2,"Bensenville, IL (16 mi.)",5
2018 BMW 530 XI,25998,62294,CarMax Independence Boulevard,0.0,Location not found,11
2019 Chevrolet Silverado 1500 LD Custom,22998,108731,CarMax Gainesville,0.0,Location not found,4
2015 Jeep Grand Cherokee Summit,14500,151127,Champion Motorsports,4.8,"Crestwood, IL (17 mi.)",185
2019 BMW X7 xDrive40i,37888,91796,Chicago Auto Place,4.4,"Downers Grove, IL (18 mi.)",420
2009 Mercedes-Benz CLS-Class CLS 550,8999,93061,Your Choice Auto Sales of Posen,4.3,"Posen, IL (18 mi.)",113
2024 Mazda CX-5 2.5 S Premium,35031,0,Castle Mazda Downers Grove,4.3,"Downers Grove, IL (21 mi.)",98
2019 Subaru Outback 2.5i Limited,24500,42237,Packey Webb Ford,4.4,"Downers Grove, IL (21 mi.)",652
2025 Chevrolet Equinox RS,36986,0,Phillips Chevrolet of Lansing,5.0,"Lansing, IL (22 mi.)",6799
2025 Chevrolet Equinox RS,37989,0,Phillips Chevrolet of Lansing,5.0,"Lansing, IL (22 mi.)",6799
2024 Jeep Grand Cherokee L Limited,47829,0,Zeigler Chrysler Dodge Jeep Ram of Downers Grove,4.3,"Downers Grove, IL (22 mi.)",897
2025 Hyundai Elantra Blue,26342,0,Patrick Hyundai of Schaumburg,4.1,"Schaumburg, IL (25 mi.)",1125
2018 Jeep Compass Limited,18998,83999,CarMax Tinley Park,0.0,"Tinley Park, IL (25 mi.)",16
